value,percentage,datetime
162.32,0.6220587108147466,2024-01-04T15:00:00.000+01:00
164.29,0.6228060199401039,2024-01-04T16:00:00.000+01:00
166.31,0.6244977657617062,2024-01-04T17:00:00.000+01:00
216.76,0.678796229605737,2024-01-04T18:00:00.000+01:00
219.31,0.6783273019702453,2024-01-04T19:00:00.000+01:00
221.77,0.6782994341642452,2024-01-04T20:00:00.000+01:00
219.55,0.6818958288039259,2024-01-04T21:00:00.000+01:00
165.85,0.6252356178843399,2024-01-04T22:00:00.000+01:00
159.12,0.6377299507033787,2024-01-04T23:00:00.000+01:00
134.1,0.6090471432464347,2024-01-05T00:00:00.000+01:00
130.65,0.6187251373366167,2024-01-05T01:00:00.000+01:00
128.01,0.6243781094527363,2024-01-05T02:00:00.000+01:00
119.92,0.6292040505797786,2024-01-05T03:00:00.000+01:00
108.3,0.6393152302243211,2024-01-05T04:00:00.000+01:00
115.86,0.6292635237888333,2024-01-05T05:00:00.000+01:00
121.99,0.6192700137062794,2024-01-05T06:00:00.000+01:00
128.92,0.5987645720124471,2024-01-05T07:00:00.000+01:00
157.07,0.633474490824763,2024-01-05T08:00:00.000+01:00
155.92,0.6340273259596617,2024-01-05T09:00:00.000+01:00
191.66,0.7148025211651065,2024-01-05T10:00:00.000+01:00
169.92,0.746572934973638,2024-01-05T11:00:00.000+01:00
155.37,0.7720632081097197,2024-01-05T12:00:00.000+01:00
152.92,0.7762830600538099,2024-01-05T13:00:00.000+01:00
99.82,0.7139178944357031,2024-01-05T14:00:00.000+01:00
90.57,0.7477708058124174,2024-01-05T15:00:00.000+01:00
107.95,0.7087053571428572,2024-01-05T16:00:00.000+01:00
131.72,0.662842190016103,2024-01-05T17:00:00.000+01:00
190.57,0.7163208540069164,2024-01-05T18:00:00.000+01:00
194.6,0.7133692584039005,2024-01-05T19:00:00.000+01:00
196.88,0.7112202875514775,2024-01-05T20:00:00.000+01:00
195.12,0.7137318018874826,2024-01-05T21:00:00.000+01:00
142.41,0.6550296674485994,2024-01-05T22:00:00.000+01:00
134.82,0.6647273444433488,2024-01-05T23:00:00.000+01:00
101.88,0.6599300427516518,2024-01-06T00:00:00.000+01:00
94.49,0.677396229120367,2024-01-06T01:00:00.000+01:00
95.25,0.6830405163140911,2024-01-06T02:00:00.000+01:00
93.97,0.6835673237797337,2024-01-06T03:00:00.000+01:00
71.41,0.7485324947589099,2024-01-06T04:00:00.000+01:00
71.42,0.7485588512734515,2024-01-06T05:00:00.000+01:00
78.68,0.720578807583112,2024-01-06T06:00:00.000+01:00
94.46,0.6802534927264872,2024-01-06T07:00:00.000+01:00
92.9,0.6697909156452777,2024-01-06T08:00:00.000+01:00
93.4,0.6748554913294798,2024-01-06T09:00:00.000+01:00
62.84,0.7153916211293261,2024-01-06T10:00:00.000+01:00
36.38,0.9009410599306588,2024-01-06T11:00:00.000+01:00
34.12,0.9142550911039656,2024-01-06T12:00:00.000+01:00
33.82,0.9135602377093462,2024-01-06T13:00:00.000+01:00
34.17,0.9143698153599144,2024-01-06T14:00:00.000+01:00
39.71,0.9254253087858307,2024-01-06T15:00:00.000+01:00
